"year","month","fleet","sex","partition","input_n","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","f58","f60","f62","f64","f66","f68","f70","f72","f74","f76","f78","f80","f82","f84","f86","f88","f90","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56","m58","m60","m62","m64","m66","m68","m70","m72","m74","m76","m78","m80","m82","m84","m86","m88","m90"
1980,7,4,3,0,7,0,0,0,0,0,0,0,0.0667671533568856,1.42591092201765,6.21861516461493,10.1076453612881,7.68182728192867,2.60935400363658,1.70487988620672,3.7014291588698,7.79939612435469,5.41574442532333,3.13942611696543,0.558737999883895,0.504671268794292,0.038101266801847,0,0.0254008445345646,0,0,0.0127004222672823,0,0,0,0.0254008445345646,0.0127004222672823,0.0254008445345646,0,0,0,0,0,0,0,0,0,0,0,0,0.267068613427542,3.54329407912722,8.85823519781805,11.2005205880271,7.85672789746476,3.42166012317498,1.88921588198962,5.46037577616613,4.40313684571428,1.21907937790605,0.692272306597666,0.0127004222672823,0.038101266801847,0.0127004222672823,0,0.038101266801847,0,0,0.0127004222672823,0,0,0,0,0,0,0,0,0,0,0
1983,7,4,3,0,116,0,0,0,0,0.0127037978153692,0,0,0.264767658956637,1.19584994833737,5.50989595133039,4.29551794754386,3.52184472365474,6.08485148211408,7.91931981468958,6.42570430644916,4.66496066319793,3.19516719612255,2.79951291063881,1.56510597503613,1.1905808840988,1.20085118203337,0.409716713394703,0.372234793930771,0.203932422668514,0.141370612021883,0.0798725564808186,0.10548724400541,0.0696598347830863,0.00810610503312739,0.0520353607432657,0.00716442250180647,0,0,0,0.00716442250180647,0,0,0,0,0,0,0,0.0227548126750075,0,0.287522471631644,2.15051126231612,6.28770108466392,5.84747521306066,3.94654582537143,8.1426660135752,6.84807878566905,5.13956116242074,3.78598568095667,2.74350032323434,1.71291178828527,1.1083212468094,0.28133646858693,0.105430617063441,0.100144915090684,0.0685575249585086,0.0301474733588884,0.0161131745098605,0.0195286737854803,0.0357217439444594,0.00849857939227323,0.00760622855608454,0,0,0,0,0,0,0,0
1986,7,4,3,0,226,0,0,0,0.0452954278815478,0.0834721718720703,0,0.0202770705114361,0.200167807458275,3.23028826479765,8.4992753164443,9.90552049768583,7.71614408810849,3.37016568696206,2.39833435702402,2.0049097523468,1.89950115854236,1.34612127464139,1.0564157195208,0.538353514870819,0.467968648555181,0.520475883018269,0.430022185127592,0.542030154063445,0.369146897018778,0.429881546986773,0.38847827019377,0.928877658871793,0.74402403091191,0.750304208757285,0.822236813669106,0.353125824557634,0.184499914693574,0.160576375743397,0.170959130675485,0.0050173973541449,0,0.149178137706451,0,0,0.00517386641209022,0.0811130862979727,0.100162134480547,0.0266691001721917,0.0181837443177195,0.646818398171183,5.24552086211453,10.8732702681086,10.6012792094119,7.61012455606323,4.09099100440265,2.54579737236922,2.45206799463584,1.65401673519538,0.731819312222393,0.476863397996949,0.487995619879826,0.351638288195785,0.374283763603485,0.622469970643649,0.611554407861792,0.148635007857582,0.236300523727122,0.0467740851997583,0.0802539663796853,0.149178137706451,0,0,0,0,0,0,0,0,0
1989,7,4,3,0,575,0,0.00606171162493962,0.0679435420756066,0.184162542799233,0.0363052759682529,0.00925764372486716,0,0,0.0746045951813027,1.26362848730337,8.23291151992135,10.4143791993832,6.74775263602414,5.80710719157177,6.72637294187857,4.44419078947267,3.37881725344932,3.14729286446583,1.24351694826679,0.798087915831717,0.191861495228403,0.166458968891896,0.070439185857464,0.0530021418732014,0.0466407284605227,0.0485012139226943,0.0285164671722399,0.026017038311815,0.0172104120532588,0.0112938338981859,0.0206892242625728,0.00991006858509818,0.0146202412654962,0,0,0,0.0100872979596018,0,0.0219041901334068,0.0911184530117743,0.14589253190937,0.131464606481099,0.031161728455263,0.00596712537069494,0,0.0716282726383098,1.59325374809713,8.08246424826774,8.14843596980172,6.60467202287665,7.44699769168793,4.84215168406791,4.10821591813506,2.94268727309945,1.46314725001953,0.601578414853567,0.157882032982857,0.0175812540497297,0.0638537437074254,0.0402685088442865,0.0412844083297908,0,0.0314089245208518,0,0,0.0116234165409023,0.00571520543219666,0,0,0,0,0,0,0
1992,7,4,3,0,442,0.00512067470688422,0.00583814340382454,0.0191396357159466,0.00452427744342109,0.00536735576524205,0.0119182198259453,0.00530535703399557,0.0496453309912188,0.211739919090192,0.823542180986862,2.16897101178781,1.96428078664039,4.67393349654872,10.0609050288229,12.0282615920009,8.07323716527446,3.71983265797375,1.29457724602364,0.664109729601082,0.425891753016123,0.138344206556159,0.21178715436573,0.0464116048899342,0.0395564738119785,0.010952467474515,0.0275826436199098,0.0181360243602731,0.0539800393104047,0.0117701946987805,0,0,0.0112741888659466,0,0,0,0,0,0,0.0127459490442007,0.00593778246893566,0.00637987857198219,0.00650995103594375,0.00536735576524205,0.0215365303790477,0.167113157849852,0.349079779715199,1.34994316401027,3.08689497239316,3.86742077957154,8.36637242668377,13.9454301016787,12.3075667971406,6.32064655002188,1.92673524262026,0.994982087366653,0.389989656482176,0.0287955027650714,0.0156703467097012,0.00515734741899676,0.0174419582571879,0.00817306072135987,0.00408653036067994,0,0.00408653036067994,0,0,0,0,0,0,0,0,0,0
1980,7,4,0,0,28,0,0,0,0,0,0,0,0.858626621548349,6.58489782512948,20.1756584526628,25.764493780282,11.4539812920187,3.55712631089904,3.01532539562405,7.58727059848913,9.22641371599925,5.95875185233596,2.9102086580566,1.40002171547699,0.61987624408465,0.223298306008174,0.199767059170324,0.128177198911848,0.0215179098894379,0.0215179098894379,0.0506498560003085,0.0115927212964426,0.176198035151715,0.0430358197788757,0,0.0115927212964426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,7,4,0,0,399,0,0,0.0961469350178667,0.267347270976208,0.695996449444258,0.501889893614488,0.218336901188204,3.28479579339758,16.8103641170644,24.4725176289678,16.1641191703519,7.97525052950696,7.09688275742985,7.21862383413852,4.65233279149709,3.3782953214291,1.90537806721119,1.4807160149391,0.826963706645749,0.497346163403762,0.62672737991347,0.527743445265484,0.375577509967334,0.178417385966794,0.190070935243229,0.116949863115476,0.113821577857218,0.014266289147074,0.134685297794394,0.0440562162396399,0.0672075398484652,0.0301999967957088,0,0,0.0369732166217202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,4,0,0,28,0,0,0,2.61500299524305,0,0,0,0.775047937440417,5.25697914673288,24.6842200884381,31.4699762258791,19.8517216064438,5.60709093471075,4.38731631798685,2.29098504971741,1.78156681700636,0.640046440200666,0,0,0,0,0,0,0,0,0,0.320023220100333,0,0,0,0.320023220100333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,7,4,0,0,78,0.0460011426024611,1.49446540781621,11.0362035648649,35.7198308323516,34.8792761179844,10.914063089892,2.07695473934803,0.0646586588857098,0.100273863444166,0.226079429362265,0.171008154265842,0.366171576334256,1.16157605295615,1.53772248686249,0.123351426152149,0.0823634568773524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,7,4,0,0,78,0,0.11385670423337,0.22484542856603,1.01249954652374,0.819425615537569,0.0554943621663301,0.253104529881473,1.6257195015685,5.09414796217664,11.0379214346249,10.1095083479537,7.81986514566734,14.861726134645,18.1027263453509,12.3932657439077,7.94725901184631,3.35243629663144,1.50072596401103,0.400075938812705,0.320666416536671,0.370513738305551,0.815746137143473,0.217788706439932,0.116314147285979,0.370513738305551,0.171497547125225,0.352386439372648,0.170476462100024,0,0,0.123164217760117,0.123164217760117,0,0,0,0,0.123164217760117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
