"year","month","fleet","sex","partition","input_n","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66","u68","u70","u72","u74","u76","u78","u80","u82","u84","u86","u88","u90"
2003,7,10,0,0,999,0.0341805169224961,0.178150887475999,0.503249078912394,0.658147809005209,0.278427788444685,0.184767872642316,0.263903871821764,0.327782691454763,0.435066178970141,1.97619773281922,1.13203612324789,1.91488184432228,2.56269970740074,2.93344439106652,5.05676780040116,9.12517884186804,15.0754658663997,12.7365114188203,12.7985236193014,8.63905696931603,6.34624558516451,4.48437804937966,3.46215330304568,1.93927416254142,1.3542147036843,1.3899645201604,1.14625711069231,0.426271424843532,1.43429269777512,0.142278677673805,0.262059300183099,0.549555641743782,0.0419193992509952,0.0197905769552013,0.0524562394166887,0.0677660532415815,0.066681543634902
2004,7,10,0,0,780,0.156199511639174,0.134644257146651,0.657541486167043,1.22728992274737,1.02012493676643,0.466449699961406,0.0869316695739288,0,0.0262786846391565,0.228567799527085,0.57385774129787,1.22969323192967,2.39238892681332,4.15613534362581,9.72843219228191,14.6505925573062,13.262232454113,12.3447003537019,10.4541088486534,8.50213689559039,6.54001365545082,4.26253304536115,3.30459797813386,1.68208220135344,1.09152198715131,0.574892672989081,0.414858059083063,0.264975858498369,0.191862576443054,0.152912762906854,0.0955837659915418,0.0924490630809089,0.0248631359833834,0,0,0.00854672409152387,0
2005,7,10,0,0,1061,0.00921104075724431,0,0.0312850343372212,0.0506643787755651,0.0590294130953422,0.0101145337012874,0.055600501695328,0.553879371848053,1.45161580261023,2.85305255118815,3.02335495101438,3.29299242184852,4.03393379050632,5.43429738762642,6.21930925330498,8.37232425036322,9.96791766350958,10.8691928529221,10.3839031512398,9.02716304487609,7.46437538788966,5.20125800849481,3.89107377773578,2.34984335966084,2.3138409037037,1.09259020599485,0.750855168573127,0.380202950153542,0.379521606481016,0.173895222178596,0.148687835519706,0.0553655409637844,0.0378491745574024,0.0116913715178701,0.0373426365188273,0.012765454836692,0
2006,7,10,0,0,947,0,0,0.0428716686117032,0.0129036683073713,0.0150548469080038,0,0.0175651704332473,0.014674247068583,0.0298194696574238,0.168375244747665,0.165592853511097,0.331056241468793,1.2651039702393,2.74654579400921,5.67676150339852,7.12854528984844,9.75597167125842,10.6324917981715,13.4898721077587,11.242005774169,9.7821664541095,7.1136306288489,6.34150423378154,4.43383358777227,3.14408065866119,2.71466480153853,1.38475278547288,0.832220841424243,0.460278009475937,0.282924329636715,0.339086758146883,0.241075279178913,0.0766041618135354,0.0392825316397256,0.0786836189322868,0,0
2007,7,10,0,0,1004,0,0.0211425323800269,0.0438106982546472,0.0196503259983325,0,0,0.0196503259983325,0.103454453068271,0.155021674498939,0.299016887583667,0.440180666950195,0.164677774900034,0.279468687897358,0.866681870139515,3.05619824878304,6.24578332254276,11.9895658856827,10.6984237713979,15.059572327673,12.8683223131418,11.5204151532432,7.31478983724942,6.73221616725064,3.24559527230136,3.56542915072168,1.64056811037236,1.28073277416962,0.984671012312936,0.590237467977328,0.306848458065711,0.281593183909925,0.133309510713143,0.0251681803305791,0.029467698078367,0.0108602585584579,0.00747599785475722,0
2008,7,10,0,0,999,0.594961138238076,1.08804899466853,3.30195848981017,5.23569379033028,1.54498854422085,0.0980969131862542,0.0572981702183325,0.0241380521785971,0.127069598032181,0.098372804377945,0.252004458910044,0.517397819947896,1.02320151928773,1.12647128241229,1.95455337011752,5.18078724147759,8.0770044121855,11.1374459251655,11.7158935511825,10.5623966406765,9.44605836493114,8.75034077216995,5.55628649831871,4.4281357349517,2.45582001583059,1.76452042456091,1.22951294871956,1.25266312427995,0.619550230653941,0.276998532341859,0.182240948192602,0.126048641795533,0.0963553443788292,0.068193746235874,0.029491956014535,0,0
2009,7,10,0,0,997,0,0.150847029145433,0.341381892111767,0.57031014375608,0.466524015034318,0.802715785108796,4.06545038217382,13.4498598060804,12.7151752791479,8.70394322143802,4.80231192043194,2.67876233732477,0.497336099981599,0.451715800400938,1.08973567600109,2.27012070781651,4.85308246117935,6.25932323001569,7.42159100531414,8.09850376116426,6.0093525534702,4.98167866388535,2.16803298869313,2.38027753913407,1.58666043262854,1.02793251962357,0.852470284028637,0.466126845553584,0.434645259643427,0.149873568109123,0.103802830591138,0.0700487416591902,0,0.0473841798731475,0.0176716376943855,0,0.0153514017856734
2010,7,10,0,0,1087,0.0331843631799876,0.609073661779028,2.94263697445185,5.33894928059772,1.65182390111887,0.0791806473539196,0.0172167518402743,0.131613475312906,0.333215754603152,0.746644146159462,1.97758666542263,6.64971749353673,10.8077677008057,11.2786689589024,6.65384030576304,3.8688832039115,4.09369141026351,6.19215316707508,6.65746504027441,7.95958574860041,6.33084022606235,4.68360956558407,3.13379809355535,2.24776924750887,2.00805600941915,1.04751100531547,0.79558691644943,0.846717658268745,0.305103886700752,0.158695863136921,0.222436629657963,0.0582088600774057,0.0724850627126637,0.0568987251027231,0,0.00938359949554115,0
2011,7,10,0,0,1082,0.0700265724204495,0.837271374729895,1.5237265108144,0.98273218873792,0.291783135490121,0.0405560872389105,0.793819056701856,2.01630181717537,6.2304510849215,8.33877231621498,5.44365694049456,2.12880302325671,2.31002772371689,5.0268582721365,5.60390410229901,7.07242714171475,6.58571381991369,7.13938807814465,6.27010106371801,7.99068569144866,5.90083832877229,5.01538304381978,3.48386065679284,3.0742818539646,1.5917502999769,1.10505869395143,1.38663112138637,0.606496052888836,0.408600980382471,0.282325523184569,0.156281909118511,0.0738163343382759,0.0905146475158734,0.0857987616539801,0.0413557909644324,0,0
2012,7,10,0,0,1018,0.0749346389783382,0.39769012483439,0.144834717124742,0.309165792083185,0.74479644082452,0.472601941724384,0.616210257482703,1.14527463358706,1.5120053689403,3.00519044827697,2.98926496624319,5.00636633946459,7.92290342471505,7.3774201198773,7.11435694465187,6.4901990726843,7.87703242080614,8.73972447968391,7.8931522778189,8.20817897333166,6.10103201394204,4.93189283594949,3.31708275219525,2.2301483880926,1.72052271299764,1.54893581727066,0.703361039872103,0.323603268358818,0.219234926270572,0.349934441000995,0.248663048112772,0.0893450771958849,0.0919689841895733,0.0457325940701726,0.0147757841948201,0.0101210351653587,0.0123418979877426
2013,7,10,0,0,730,0,0.431515134366867,0.880143669185497,2.17789618641263,2.28740186165819,0.86594344581958,0.219673209610811,0.14168949232753,1.1556210387866,1.84917023044772,1.74465380017226,2.8673225773763,6.59951340262909,8.6406796627944,7.02018242400822,8.28554602696746,8.08019250052607,9.12301539863257,8.73808256450554,8.25668143406456,6.05795225121742,4.41358879844946,2.84428504496475,2.33770437738831,1.57412488479102,1.28824524546948,0.823198077602269,0.382177111601494,0.283203224380438,0.207095322610815,0.13878952521569,0.0475558842508524,0.208251977859189,0.0155461516005171,0,0.0133580623063828,0
2014,7,10,0,0,1094,0,0.0121960028313966,0.0709446065674875,0.248403725099306,0.336124373746717,0.144992116175077,0.120172369720101,2.76611775240448,9.0862094087552,15.3791167871337,14.5259298131973,7.60153166883374,4.76734927188647,4.11834710648959,4.19445860670886,5.48747871698653,4.78975028384769,4.93814903541732,5.47489631382692,4.01236029987054,3.22024017916579,2.75378035876445,1.67951443856448,1.4757221641201,0.978441636938842,0.719408708969733,0.463802037294709,0.289637654211847,0.138039402276728,0.0709768539987014,0.0363665141153666,0.0591071914119112,0.0093709161065126,0.016445651979562,0,0,0.0146180325828485
2015,7,10,0,0,999,0,0,0.113056666360485,0.0948822798631045,0.175695127291878,0.0286583801580247,0.059406315399112,0.2532276882625,1.10094441932398,2.78190935700575,5.29568973566491,5.43548525465687,6.22923705576169,8.46358312741326,10.0929250193248,8.65110565570692,7.33980264141881,7.26768973927031,6.77667896481469,6.69890210764892,6.54957919149194,5.70983406747455,3.01126116746104,2.74932293526304,2.05865917668544,1.27426284170867,0.699324613854486,0.57659198857241,0.202182336542796,0.0980345660775121,0.0467382691316927,0.0557139609985828,0,0.071761742364764,0.00911450274379403,0.00712913819909827,0.0216099660841834
2016,7,10,0,0,1040,0,0.161146176558623,1.06501794987572,1.51269874884231,1.5650044204404,0.422324244203624,0.0644607783440676,0.100459650963059,0.318229999387384,0.661827510455925,2.21736009907448,4.1256701383694,5.02141091690332,6.90780779396437,10.0357073305542,11.7375971802378,11.1430630203812,9.70807289586318,7.67317244405237,6.60234657789537,5.71839685062196,3.59342800689044,3.20937804994685,2.04117982838667,1.51058686516207,0.920905663326455,0.555013108641369,0.386647143736065,0.32470498662006,0.18180140081357,0.232888382456161,0.100345576003178,0.0600733066927618,0.0288857167873314,0.0301866485597755,0.0165055909519278,0.0456949980365562
2017,7,10,0,0,1090,0,0.0290879619952523,0.0545998673837334,0.0358756683573836,0.0543251611202779,3.86407314454514,2.31865858017701,13.8461683945702,18.3831104983663,9.38936942999453,1.55909112032498,2.48339111599203,4.06187604206831,4.70937130860175,5.75611094306838,5.78751910767962,5.5980506383472,5.03789894359647,4.47383406927767,3.55846107083138,2.58132696865097,2.19545872652758,1.25581986490372,0.898433638320602,1.05066048400275,0.414068389747644,0.239818058090959,0.163800835031947,0.0947011799624524,0.040397385527074,0.0308831971290292,0,0.0101893501452134,0,0,0.0161978378899319,0.00737101777258677
2018,7,10,0,0,1032,0,0.0204615575161115,0.0852707041787351,0.101243185405584,0.026260401025733,0,0.0491160497854638,0.112491923594795,0.242603485092804,1.1681622034802,5.15945415531072,16.8994635136967,20.8146272480927,12.6100213708784,9.329611795456,5.86171573483292,5.11953619169974,5.10243330715323,4.38957907908977,3.60141877993735,3.30320495498979,1.66732280097397,1.63911507342555,0.905758512270971,0.680991097694368,0.406246126851135,0.222007002359742,0.177514120773038,0.0942798409532124,0.101168415203025,0.048135577737194,0.017491375004804,0.0266557868024215,0.0108129159795799,0,0.005825712754269,0
2019,7,10,0,0,537,0,0.0237038311819292,0.349030085872761,0.971299777052712,0.649933705424479,0.064593436672263,0.1835806366451,1.12743566658894,1.29696707089788,0.800846056593035,0.526804390510635,0.933705560117261,2.32350664180797,6.44085404389624,9.22616117315906,13.4263197025633,16.0536604506722,12.7289613230953,7.86061097713408,7.26563265609824,4.60874995955188,4.78643677968713,2.93250042431921,1.8820969991724,0.907623149306425,0.718073496482916,1.24832349317654,0.258407364560157,0.180823707023279,0.037297771702325,0.111629152280476,0,0,0,0.043648199967263,0.0307823167865953,0
2021,7,10,0,0,1237,0.152853762035843,0.860702041822273,1.39366225751038,1.50542334201917,0.516870483843466,0.581117657105092,1.69834965956511,4.55470762601849,14.7039642713211,20.0164713914249,12.1057748741639,4.4016926452575,1.96959482776843,2.29141545957368,3.57790785253816,5.33552890283756,5.28400404156978,4.78476637008973,4.15053732928011,3.30897024961711,2.38497532944007,1.32077048486083,1.06471442216838,0.806669236465536,0.437265318024205,0.253900066010482,0.240869764359066,0.116405369054971,0.0593911635077518,0.046270479837785,0.0218636977108941,0.0353833536242283,0,0,0.00284468753078969,0.00634270543456578,0.00801887660870389
2022,7,10,0,0,1104,0.00378887051599586,0.0227338122387517,0.0310666396143104,0.0360291265023565,2.85925500259538,9.32272531535648,13.4854422755502,16.3740940247393,7.73283151898246,4.3011449438,3.73871906004362,4.91178640165063,6.73113960059253,3.88679971279139,4.09321999559567,4.12045307790239,4.44652856111563,3.78310872339611,2.85994879631651,2.00282240644697,2.15513488112924,1.0126473898263,0.771326129311939,0.467769382587507,0.326887667838455,0.170246212114775,0.125678567004868,0.0705902015227516,0.0294752500442134,0.0502105623472911,0.0167181521012143,0.0528666463638187,0,0,0.00681109206092363,0,0
2023,7,10,0,0,1149,0.0150750143108721,0.0552417553740827,0.744423286386901,1.78623133297705,1.30713688042171,0.219464310709639,0.0684808645132533,0.544238485141504,1.40667383879624,7.41875286172215,9.03788015698511,10.0963233240879,11.8420308645779,8.96747312521575,7.31018720278387,6.92450476114319,6.31624463098096,5.70267207709932,5.29785996428532,4.40457207424956,3.64723713162148,2.92857955965183,1.32367029892148,1.08957569261486,0.459857846951184,0.342966783243387,0.234866739433355,0.201732120884005,0.131033388106851,0.070694634196077,0.0546861772349034,0.0171417888027846,0.00588398702694361,0,0.00978176299359652,0,0.0168252765549877
2024,7,10,0,0,1132,0.13447680006307,0.160210188221984,0.27518256054287,0.203919977796455,0.297765301634667,2.79678509017824,6.88179575662339,4.69532388499081,5.6963858476362,9.41552805556787,7.5063662699413,6.6129188003979,9.92908019963991,11.7907017837887,8.51289411314971,5.36344956368611,4.39776578440456,3.52687003603663,3.14318122274674,2.65428406011396,2.08786611309995,1.44966985868229,0.89749968636673,0.586572300921939,0.481668294869784,0.16272242428261,0.113850123618304,0.0896187470296648,0.0284822008430861,0.0402685431520549,0.00930238091345455,0.0516210487517976,0.00442614353047633,0,0.00154683677675633,0,0
