SPECIFICATION_TYPE,YEAR,VAL,STOCK_NAME,AREA_NAME
ACL,2011,1298,Sablefish,S36
ACL,2011,5515,Sablefish,N36
ACL,2012,1258,Sablefish,S36
ACL,2012,5347,Sablefish,N36
ACL,2013,1439,Sablefish,S36
ACL,2013,4012,Sablefish,N36
ACL,2014,1560,Sablefish,S36
ACL,2014,4349,Sablefish,N36
ACL,2015,1719,Sablefish,S36
ACL,2015,4793,Sablefish,N36
ACL,2016,1880,Sablefish,S36
ACL,2016,5241,Sablefish,N36
ACL,2017,1864,Sablefish,S36
ACL,2017,5252,Sablefish,N36
ACL,2018,1944,Sablefish,S36
ACL,2018,5475,Sablefish,N36
ACL,2019,1990,Sablefish,S36
ACL,2019,5606,Sablefish,N36
ACL,2020,2032,Sablefish,S36
ACL,2020,5723,Sablefish,N36
ACL,2021,1899,Sablefish,S36
ACL,2021,6892,Sablefish,N36
ACL,2022,1809,Sablefish,S36
ACL,2022,6566,Sablefish,N36
ACL,2023,2338,Sablefish,S36
ACL,2023,8486,Sablefish,N36
ACL,2024,2143,Sablefish,S36
ACL,2024,7779.564576,Sablefish,N36
OFL,2011,8808,Sablefish,CW
OFL,2012,8623,Sablefish,CW
OFL,2013,6621,Sablefish,CW
OFL,2014,7158,Sablefish,CW
OFL,2015,7857,Sablefish,CW
OFL,2016,8526,Sablefish,CW
OFL,2017,8050,Sablefish,CW
OFL,2018,8239,Sablefish,CW
OFL,2019,8489,Sablefish,CW
OFL,2020,8648,Sablefish,CW
OFL,2021,9402,Sablefish,CW
OFL,2022,9005,Sablefish,CW
OFL,2023,11577.1,Sablefish,CW
OFL,2024,10669.8,Sablefish,CW
ACL,2011,6813,Sablefish,CW
ACL,2012,6605,Sablefish,CW
ACL,2013,5451,Sablefish,CW
ACL,2014,5909,Sablefish,CW
ACL,2015,6512,Sablefish,CW
ACL,2016,7121,Sablefish,CW
ACL,2017,7116,Sablefish,CW
ACL,2018,7419,Sablefish,CW
ACL,2019,7596,Sablefish,CW
ACL,2020,7755,Sablefish,CW
ACL,2021,8791,Sablefish,CW
ACL,2022,8375,Sablefish,CW
ACL,2023,10824,Sablefish,CW
ACL,2024,9922.564576,Sablefish,CW
OFL,2001,8086,Sablefish,CW
ACL,2001,7107,Sablefish,CW
OFL,2002,4977,Sablefish,CW
ACL,2002,4596,Sablefish,CW
OFL,2003,8650,Sablefish,CW
ACL,2003,6794,Sablefish,CW
OFL,2004,8487,Sablefish,CW
ACL,2004,7786,Sablefish,CW
OFL,2005,8471,Sablefish,CW
ACL,2005,7761,Sablefish,CW
OFL,2006,8175,Sablefish,CW
ACL,2006,7634,Sablefish,CW
OFL,2007,6210,Sablefish,CW
ACL,2007,5934,Sablefish,CW
OFL,2008,6058,Sablefish,CW
ACL,2008,5934,Sablefish,CW
OFL,2009,9914,Sablefish,CW
ACL,2009,8423,Sablefish,CW
OFL,2010,9217,Sablefish,CW
OFL,2010,7729,Sablefish,CW
ACL,2025,28687.59,Sablefish,CW
ACL,2026,27238.4,Sablefish,CW
OFL,2025,39085,Sablefish,CW
OFL,2026,37310,Sablefish,CW
ABC,2013,6044.973,Sablefish,CW
ABC,2014,6535.254,Sablefish,CW
ABC,2015,7173.441,Sablefish,CW
ABC,2016,7784.238,Sablefish,CW
ABC,2017,7349.65,Sablefish,CW
ABC,2018,7522.207,Sablefish,CW
ABC,2019,7750.457,Sablefish,CW
ABC,2020,7895.624,Sablefish,CW
ABC,2021,8790.87,Sablefish,CW
ABC,2022,8374.65,Sablefish,CW
ABC,2023,10824.5885,Sablefish,CW
ABC,2024,9922.914,Sablefish,CW
ABC,2025,36545,Sablefish,CW
ABC,2026,34699,Sablefish,CW
ACL,2025,28697.59,Sablefish,N36
ACL,2026,27238.4,Sablefish,N36
ACL,2025,7857.11,Sablefish,S36
ACL,2026,7460.2,Sablefish,S36
